reference,n_obs,mae,mse,rmse,mape
point,28,65.59392857142862,5212.845560714296,72.2000385090915,1.6220088310933283
mean,28,66.28663119277802,5299.200429931909,72.79560721590218,1.6395053492790035
median,28,65.4215963408519,5207.11970613439,72.16037490295065,1.6176415780186926
lower_80,28,96.38219163814286,15065.282386380155,122.7407120167557,2.3495417497262854
lower_90,28,125.70785764980884,23845.141244530158,154.4187205118931,3.0676661124290545
lower_95,28,150.50804489450738,33099.393662701164,181.93238761336906,3.6752091139015626
upper_80,28,173.8006142435524,32115.28661112145,179.20738436549274,4.294596919363488
upper_90,28,212.9911939586804,47356.82652828045,217.6162368213375,5.257145817384777
upper_95,28,246.23378461857797,62933.03957777404,250.86458414406374,6.073733796270955
